name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status
USPT001	TRIG	V	0.0	600.0	Trigger	1200.0	good
SCLK01	MISC	V	0.0	600.0	System clock	1200.0	good
BG1	MEGREFMAG	T	0.0	600.0	Magnetometer Reference	1200.0	good
BG2	MEGREFMAG	T	0.0	600.0	Magnetometer Reference	1200.0	good
BG3	MEGREFMAG	T	0.0	600.0	Magnetometer Reference	1200.0	good
BP1	MEGREFMAG	T	0.0	600.0	Magnetometer Reference	1200.0	good
BP2	MEGREFMAG	T	0.0	600.0	Magnetometer Reference	1200.0	good
BP3	MEGREFMAG	T	0.0	600.0	Magnetometer Reference	1200.0	good
BR1	MEGREFMAG	T	0.0	600.0	Magnetometer Reference	1200.0	good
BR2	MEGREFMAG	T	0.0	600.0	Magnetometer Reference	1200.0	good
BR3	MEGREFMAG	T	0.0	600.0	Magnetometer Reference	1200.0	good
G11	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
G12	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
G13	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
G22	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
G23	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
P11	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
P12	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
P22	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
P23	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
Q11	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
Q12	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
Q13	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
Q22	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
Q23	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
R11	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
R12	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
R13	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
R22	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
R23	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
MLC11	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLC12	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLC13	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLC14	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLC15	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLC16	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLC17	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLC21	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLC22	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLC23	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLC24	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLC25	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLC31	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLC32	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLC41	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLC42	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLC51	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLC52	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLC53	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLC54	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLC55	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLC61	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLC62	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
